private_graduates_certified_2022-23
SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY_CODE,COUNTY,CITY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHOICE_IND,DISTRICT_NAME,SCHOOL_NAME,LOW_GRADE,HIGH_GRADE,GROUP_BY,GROUP_BY_VALUE,STUDENT_COUNT
2022-23,,,,,,0,,[All],,[Statewide],[Statewide],,,All Students,All Students,5110
2022-23,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,All Students,All Students,334
2022-23,Private school,6,44,Outagamie,Appleton,147,700,High School,Yes,Appleton Area,Fox Valley Lutheran High School,9,12,All Students,All Students,176
2022-23,Private school,6,44,Outagamie,Appleton,147,1628,Combined Elementary/Secondary School,No,Appleton Area,FreedomProject Academy,KG,12,All Students,All Students,53
2022-23,Private school,6,44,Outagamie,Appleton,147,8750,High School,Yes,Appleton Area,Xavier High School,9,12,All Students,All Students,105
2022-23,School District,1,67,Waukesha,,2450,,[All],,Arrowhead UHS,[Districtwide],,,All Students,All Students,98
2022-23,Private school,1,67,Waukesha,Hartland,2450,1214,High School,Yes,Arrowhead UHS,Lake Country Lutheran High School,9,12,All Students,All Students,75
2022-23,Private school,1,67,Waukesha,Hartland,2450,8600,Combined Elementary/Secondary School,No,Arrowhead UHS,University Lake School,K4,12,All Students,All Students,23
2022-23,School District,5,56,Sauk,,280,,[All],,Baraboo,[Districtwide],,,All Students,All Students,1
2022-23,Private school,5,56,Sauk,Baraboo,280,1615,Combined Elementary/Secondary School,Yes,Baraboo,Community Christian School of Baraboo,K4,12,All Students,All Students,1
2022-23,School District,6,14,Dodge,,336,,[All],,Beaver Dam Unified,[Districtwide],,,All Students,All Students,42
2022-23,Private school,6,14,Dodge,Beaver Dam,336,8670,High School,No,Beaver Dam Unified,Wayland Academy,9,12,All Students,All Students,42
2022-23,School District,8,38,Marinette,,4263,,[All],,Beecher-Dunbar-Pembine,[Districtwide],,,All Students,All Students,19
2022-23,Private school,8,38,Marinette,Dunbar,4263,1786,High School,No,Beecher-Dunbar-Pembine,Northland Scholars Academy,9,12,All Students,All Students,19
2022-23,School District,2,53,Rock,,413,,[All],,Beloit,[Districtwide],,,All Students,All Students,19
2022-23,Private school,2,53,Rock,Beloit,413,2457,Combined Elementary/Secondary School,Yes,Beloit,Rock County Christian School,6,12,All Students,All Students,19
2022-23,School District,2,64,Walworth,,6013,,[All],,Big Foot UHS,[Districtwide],,,All Students,All Students,1
2022-23,Private school,2,64,Walworth,Walworth,6013,1522,High School,No,Big Foot UHS,Agape School,6,12,All Students,All Students,1
2022-23,School District,2,51,Racine,,777,,[All],,Burlington Area,[Districtwide],,,All Students,All Students,29
2022-23,Private school,2,51,Racine,Burlington,777,307,High School,Yes,Burlington Area,Catholic Central High School,9,12,All Students,All Students,29
