zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
46001,STANDARD,0,Alexandria,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.25,-85.67,9630
46011,STANDARD,0,Anderson,"Country Club Heights, Ctry Clb Hgts, River Forest, Woodlawn Heights, Woodlawn Hgts",,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.13,-85.76,15360
46012,STANDARD,0,Anderson,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.15,-85.62,16100
46013,STANDARD,0,Anderson,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.05,-85.68,16240
46014,PO BOX,0,Anderson,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.09,-85.68,0
46015,PO BOX,0,Anderson,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.09,-85.68,306
46016,STANDARD,0,Anderson,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.09,-85.68,13160
46017,STANDARD,0,Anderson,Chesterfield,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.07,-85.61,5380
46018,PO BOX,0,Anderson,,,IN,Madison County,America/Indiana/Indianapolis,765,NA,US,40.09,-85.68,581
46030,STANDARD,0,Arcadia,,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,40.17,-86.02,2970
46031,STANDARD,0,Atlanta,,"Aroma, East Union, Ekin",IN,Hamilton County,America/Indiana/Indianapolis,"317, 463, 765, 812, 930",NA,US,40.21,-86.02,2150
46032,STANDARD,0,Carmel,,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463",NA,US,39.96,-86.17,48170
46033,STANDARD,0,Carmel,,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463",NA,US,39.96,-86.1,39280
46034,STANDARD,0,Cicero,Westfield,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463, 765",NA,US,40.12,-86.02,7060
46035,STANDARD,0,Colfax,,,IN,Clinton County,America/Indiana/Indianapolis,765,NA,US,40.19,-86.66,1130
46036,STANDARD,0,Elwood,,"Curtisville, Duck Creek, Leisure, Meadowood Est, Meadowood Estates, New Lancaster, Pipe Creek, Rigdon, West Elwood",IN,Madison County,America/Indiana/Indianapolis,"765, 812, 930",NA,US,40.27,-85.83,9990
46037,STANDARD,0,Fishers,,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463",NA,US,39.96,-85.94,47340
46038,STANDARD,0,Fishers,,,IN,Hamilton County,America/Indiana/Indianapolis,"317, 463",NA,US,39.95,-86.02,40720
46039,STANDARD,0,Forest,,,IN,Clinton County,America/Indiana/Indianapolis,765,NA,US,40.37,-86.31,650
