universal-id,nces-id,state-id,name,school-summary,type,level-codes,level,street,city,state,fipscounty,zip,phone,fax,county,lat,lon,district-name,district-id,web-site,overview-url
1702032,171425001767,3404903302001,Emmons Grade School,"Emmons Grade School, a public school located in Antioch, IL, serves grades K-8 in the Emmons School District 33.",public,"e,m","KG,1,2,3,4,5,6,7,8",24226 West Beach Grove Road,Antioch,IL,17097.0,60002,(847) 395-1105,,Lake County,42.459717,-88.106033,Emmons School District 33,443,http://www.emmons33.org,https://www.greatschools.org/illinois/antioch/2032-Emmons-Grade-School/
1702257,171749002053,3404903602001,Grass Lake Elementary School,"Grass Lake Elementary School, a public school located in Antioch, IL, serves grades PK-8 in the Grass Lake School District 36.",public,"p,e,m","PK,KG,1,2,3,4,5,6,7,8",26177 West Grass Lake Road,Antioch,IL,17097.0,60002,(847) 395-1550,,Lake County,42.439983,-88.138977,Grass Lake School District 36,508,http://www.gls36.org,https://www.greatschools.org/illinois/antioch/2257-Grass-Lake-Elementary-School/
1700431,170384000071,3404903402001,Antioch Elementary School,"Antioch Elementary School, a public school located in Antioch, IL, serves grades 2-5 in the Antioch Central Consolidated School District 34.",public,e,"2,3,4,5",817 Main Street,Antioch,IL,17097.0,60002,(847) 838-8901,,Lake County,42.480465,-88.095421,Antioch Central Consolidated School District 34,206,http://www.antioch34.com/AntiochElementary.cfm,https://www.greatschools.org/illinois/antioch/431-Antioch-Elementary-School/
1700432,170384000072,3404903401002,Antioch Upper Grade School,"Antioch Upper Grade School, a public school located in Antioch, IL, serves grades 6-8 in the Antioch Central Consolidated School District 34.",public,m,"6,7,8",800 Highview Drive,Antioch,IL,17097.0,60002,(847) 838-8310,,Lake County,42.480213,-88.112778,Antioch Central Consolidated School District 34,206,http://www.antioch34.com,https://www.greatschools.org/illinois/antioch/432-Antioch-Upper-Grade-School/
1700434,170384004366,3404903402005,W C Petty Elementary School,"W C Petty Elementary School, a public school located in Antioch, IL, serves grades K-5 in the Antioch Central Consolidated School District 34.",public,e,"KG,1,2,3,4,5",850 Highview Drive,Antioch,IL,17097.0,60002,(847) 838-8100,,Lake County,42.480663,-88.116631,Antioch Central Consolidated School District 34,206,http://www.antioch34.com,https://www.greatschools.org/illinois/antioch/434-W-C-Petty-Elementary-School/
1700435,170387000075,3404911700001,Antioch Community High School,"Antioch Community High School, a public school located in Antioch, IL, serves grades 9-12 in the Chsd 117 School District.",public,h,"9,10,11,12",1133 Main Street,Antioch,IL,17097.0,60002,(847) 838-7179,,Lake County,42.472752,-88.092674,Chsd 117 School District,207,http://www.chsd117.org,https://www.greatschools.org/illinois/antioch/435-Antioch-Community-High-School/
1704879,00349651,34049039X0000,Faith Evangelical Lutheran School,"Faith Evangelical Lutheran School, a private school located in Antioch, IL, serves grades PK-8 in the .",private,"p,e,m","PK,TK,KG,1,2,3,4,5,6,7,8",1275 Main Street,Antioch,IL,17097.0,60002,(847) 395-1660,(847) 589-0519,Lake County,42.467899,-88.091522,,0,faithantioch.org,https://www.greatschools.org/illinois/antioch/4879-Faith-Evangelical-Lutheran-School/
1705827,170384004417,3404903402006,Hillcrest Elementary School,"Hillcrest Elementary School, a public school located in Antioch, IL, serves grades K-5 in the Antioch Central Consolidated School District 34.",public,e,"KG,1,2,3,4,5",433 East Depot Street,Antioch,IL,17097.0,60002,(847) 838-8000,,Lake County,42.483101,-88.065315,Antioch Central Consolidated School District 34,206,http://www.antioch34.com,https://www.greatschools.org/illinois/antioch/5827-Hillcrest-Elementary-School/
1710113,BB060680,,St. James Junior High School,"St. James Junior High School, a private school located in Arlington Heights, IL, serves grades PK-8 in the .",private,"p,e,m","PK,KG,1,2,3,4,5,6,7,8",800 N Arlington Heights Rd,Arlington Heights,IL,17031.0,60004,(847) 255-6746,,Cook,42.09259,-87.980385,,0,,https://www.greatschools.org/illinois/arlington-heights/10113-St.-James-Junior-High-School/
1710423,,05016125X0000,A Mothers Touch Creative Learning Center,"A Mothers Touch Creative Learning Center, a private school located in Arlington Heights, IL, serves grades PK-K in the .",private,"p,e","PK,KG",125 North Dryden Place,Arlington Heights,IL,17031.0,60004,(847) 577-7600,,Cook,42.084148,-87.970749,,0,,https://www.greatschools.org/illinois/arlington-heights/10423-A-Mothers-Touch-Creative-Learning-Center/
