universal-id,nces-id,state-id,name,school-summary,type,level-codes,level,street,city,state,fipscounty,zip,phone,fax,county,lat,lon,district-name,district-id,web-site,overview-url
2613500,260219008693,02686,Algonquin Elementary School,"Algonquin Elementary School, a public school located in Clay Township, MI, serves grades 2-6 in the Algonac Community School District.",public,e,"2,3,4,5,6",9185 MARSH RD,Clay Township,MI,26147,48001,(810) 794-9317,,St. Clair County,42.632698,-82.543167,Algonac Community School District,209,http://www.algonac.k12.mi.us,https://www.greatschools.org/michigan/clay-township/13500-Algonquin-Elementary-School/
2613517,260219008684,02752,Algonac Alternative Education,"Algonac Alternative Education, a public school located in Clay Township, MI, serves grades 7-12 in the Algonac Community School District.",public,"m,h","7,8,9,10,11,12",9541 PHELPS RD,Clay Township,MI,26147,48001,(810) 794-4911,,St. Clair County,42.627754,-82.585075,Algonac Community School District,209,http://www.algonac.k12.mi.us,https://www.greatschools.org/michigan/clay-township/13517-Algonac-Alternative-Education/
2613577,260219008689,02687,Millside Elementary School,"Millside Elementary School, a public school located in Clay Township, MI, serves grades PK-1 in the Algonac Community School District.",public,"p,e","PK,KG,1",1904 MILL ST,Clay Township,MI,26147,48001,(810) 794-8880,,St. Clair County,42.631245,-82.543709,Algonac Community School District,209,http://www.algonac.k12.mi.us,https://www.greatschools.org/michigan/clay-township/13577-Millside-Elementary-School/
2600307,260219003960,00054,Algonac High School,"Algonac High School, a public school located in Clay Township, MI, serves grades 7-12 in the Algonac Community School District.",public,"m,h","7,8,9,10,11,12",5200 TAFT RD,Clay Township,MI,26147,48001,(810) 794-4911,(810) 794-0040,St. Clair County,42.626915,-82.58252,Algonac Community School District,209,http://www.algonac.k12.mi.us,https://www.greatschools.org/michigan/algonac/307-Algonac-High-School/
2600311,260219003964,03128,Pte. Tremble Elementary School,"Pte. Tremble Elementary School, a public school located in CLAY, MI, serves grades PK, 9-12 in the Algonac Community School District.",public,"p,h","PK,9,10,11,12",9541 PHELPS RD,CLAY,MI,26147,48001,(810) 794-9317,(810) 794-8876,St. Clair County,42.627754,-82.585075,Algonac Community School District,209,http://www.algonac.k12.mi.us,https://www.greatschools.org/michigan/clay/311-Pte-Tremble-Elementary-School/
2600334,260267001137,08657,Orchard Primary School,"Orchard Primary School, a public school located in Almont, MI, serves grades PK-4 in the Almont Community Schools.",public,"p,e","PK,KG,1,2,3,4",4664 Kidder Road,Almont,MI,26087,48003,(810) 798-7019,(810) 798-3530,Lapeer County,42.931015,-83.036331,Almont Community Schools,214,http://www.almontschools.org,https://www.greatschools.org/michigan/almont/334-Orchard-Primary-School/
2600335,260267003982,00073,Almont High School,"Almont High School, a public school located in Almont, MI, serves grades 9-12 in the Almont Community Schools.",public,h,"9,10,11,12",4701 Howland Road,Almont,MI,26087,48003,(810) 798-8595,(810) 798-7011,Lapeer County,42.930332,-83.041382,Almont Community Schools,214,http://www.almontschools.org,https://www.greatschools.org/michigan/almont/335-Almont-High-School/
2606038,260267001839,09521,Almont Middle School,"Almont Middle School, a public school located in Almont, MI, serves grades PK, 5-8 in the Almont Community Schools.",public,"p,e,m","PK,5,6,7,8",4624 Kidder Road,Almont,MI,26087,48003,(810) 798-3578,(810) 798-3549,Lapeer County,42.931076,-83.038666,Almont Community Schools,214,http://www.almontschools.org,https://www.greatschools.org/michigan/almont/6038-Almont-Middle-School/
2600394,260324001143,08736,Macomb Academy of Arts & Sciences,"Macomb Academy of Arts & Sciences, a public school located in Armada, MI, serves grades 9-12 in the Armada Area Schools.",public,h,"9,10,11,12",23211 Prospect Avenue,Armada,MI,26099,48005,(586) 784-2150,(586) 784-8688,Macomb County,42.845913,-82.883484,Armada Area Schools,219,http://www.armadaschools.org,https://www.greatschools.org/michigan/armada/394-Macomb-Academy-Of-Arts--Sciences/
2600395,260324004042,00119,Armada High School,"Armada High School, a public school located in Armada, MI, serves grades 9-12 in the Armada Area Schools.",public,h,"9,10,11,12",23655 Armada Center Road,Armada,MI,26099,48005,(586) 784-2400,(586) 784-9592,Macomb County,42.851246,-82.876534,Armada Area Schools,219,http://www.armadaschools.org,https://www.greatschools.org/michigan/armada/395-Armada-High-School/
2600397,260324004044,06493,Armada Middle School,"Armada Middle School, a public school located in Armada, MI, serves grades 6-8 in the Armada Area Schools.",public,m,"6,7,8",23550 Armada Center Road,Armada,MI,26099,48005,(586) 784-2500,(586) 784-8650,Macomb County,42.849522,-82.878937,Armada Area Schools,219,http://www.armadaschools.org,https://www.greatschools.org/michigan/armada/397-Armada-Middle-School/
2604615,A9103433,00423,Calvary Baptist Church School,"Calvary Baptist Church School, a private school located in Armada, MI, serves grades 3, 6-7, 9-10, 12 in the .",private,"e,m,h","3,6,7,9,10,12",74940 Fulton St,Armada,MI,26099,48005,(586) 784-9050,,Macomb,42.849754,-82.884819,,0,,https://www.greatschools.org/michigan/armada/4615-Calvary-Baptist-Church-School/
2604802,A9702033,,Our Saviour Lutheran School,"Our Saviour Lutheran School, a private school located in Armada, MI, serves grades K-8 in the .",private,"e,m","KG,1,2,3,4,5,6,7,8",22511 West Main St,Armada,MI,26099,48005,(586) 784-9087,,Macomb,42.843601,-82.892502,,0,http://www.oslc-armada.org/,https://www.greatschools.org/michigan/armada/4802-Our-Saviour-Lutheran-School/
2605010,260324001375,08904,Orville C. Krause Later Elementary School,"Orville C. Krause Later Elementary School, a public school located in Armada, MI, serves grades PK-5 in the Armada Area Schools.",public,"p,e","PK,KG,1,2,3,4,5",23900 Armada Center Road,Armada,MI,26099,48005,(586) 784-2600,(586) 784-9147,Macomb County,42.849342,-82.876312,Armada Area Schools,219,http://www.armadaschools.org,https://www.greatschools.org/michigan/armada/5010-Orville-C.-Krause-Later-Elementary-School/
2609636,260324008269,00797,Armada Continuing Education Center,"Armada Continuing Education Center, a public school located in Armada, MI, serves grades 9-12 in the Armada Area Schools.",public,h,"9,10,11,12",23211 Prospect Avenue,Armada,MI,26099,48005,(586) 784-2400,(586) 784-9592,Macomb County,42.84605,-82.882568,Armada Area Schools,219,http://www.armadaschools.org,https://www.greatschools.org/michigan/armada/9636-Armada-Continuing-Education-Center/
