universal-id,nces-id,state-id,name,school-summary,type,level-codes,level,street,city,state,fipscounty,zip,phone,fax,county,lat,lon,district-name,district-id,web-site,overview-url
5501731,551395001818,53900010,Allenton Elementary School,"Allenton Elementary School, a public school located in Allenton, WI, serves grades PK-5 in the Slinger School District.",public,"p,e","PK,KG,1,2,3,4,5",228 Weis Street,Allenton,WI,55131,53002,(262) 629-5546,(262) 629-1821,Washington County,43.4165,-88.335472,Slinger School District,369,http://www.slinger.k12.wi.us,https://www.greatschools.org/wisconsin/allenton/1731-Allenton-Elementary-School/
5502139,01505984,10296270,St. Mary Parish School,"St. Mary Parish School, a private school located in Belgium, WI, serves grades PK, 1-4 in the .",private,"p,e","PK,1,2,3,4",675 County Road D,Belgium,WI,55089,53004,(262) 285-3532,(262) 285-3532,Ozaukee,43.4995,-87.819603,,0,,https://www.greatschools.org/wisconsin/belgium/2139-St.-Mary-Parish-School/
5500213,550177000214,07140020,Brookfield Central High School,"Brookfield Central High School, a public school located in Brookfield, WI, serves grades 9-12 in the Elmbrook School District.",public,h,"9,10,11,12",16900 Gebhardt Road,Brookfield,WI,55133,53005,(262) 785-3910,(262) 785-3993,Waukesha County,43.056946,-88.122429,Elmbrook School District,72,http://www.elmbrookschools.org,https://www.greatschools.org/wisconsin/brookfield/213-Brookfield-Central-High-School/
5500214,550177000215,07140060,East High School,"East High School, a public school located in Brookfield, WI, serves grades 9-12 in the Elmbrook School District.",public,h,"9,10,11,12",3305 Lilly Road,Brookfield,WI,55133,53005,(262) 781-3500,(262) 790-5445,Waukesha County,43.078686,-88.087837,Elmbrook School District,72,http://www.elmbrookschools.org,https://www.greatschools.org/wisconsin/brookfield/214-East-High-School/
5500216,550177000218,07140080,Burleigh Elementary School,"Burleigh Elementary School, a public school located in Brookfield, WI, serves grades PK-5 in the Elmbrook School District.",public,"p,e","PK,KG,1,2,3,4,5",16185 Burleigh Place,Brookfield,WI,55133,53005,(262) 781-5280,(262) 790-0302,Waukesha County,43.077728,-88.113159,Elmbrook School District,72,http://www.elmbrookschools.org,https://www.greatschools.org/wisconsin/brookfield/216-Burleigh-Elementary-School/
5500221,550177001217,07140190,Swanson Elementary School,"Swanson Elementary School, a public school located in Brookfield, WI, serves grades PK-5 in the Elmbrook School District.",public,"p,e","PK,KG,1,2,3,4,5",305 North Calhoun Road,Brookfield,WI,55133,53005,(262) 789-2540,(262) 789-3288,Waukesha County,43.033459,-88.128822,Elmbrook School District,72,http://www.elmbrookschools.org,https://www.greatschools.org/wisconsin/brookfield/221-Swanson-Elementary-School/
5500223,550177002367,07140100,Dixon Elementary School,"Dixon Elementary School, a public school located in Brookfield, WI, serves grades PK-5 in the Elmbrook School District.",public,"p,e","PK,KG,1,2,3,4,5",2400 Pilgrim Square Drive,Brookfield,WI,55133,53005,(262) 785-3970,(262) 785-3904,Waukesha County,43.062412,-88.105209,Elmbrook School District,72,http://www.elmbrookschools.org,https://www.greatschools.org/wisconsin/brookfield/223-Dixon-Elementary-School/
5502503,01511852,07141568,Immanuel Lutheran School,"Immanuel Lutheran School, a private school located in Brookfield, WI, serves grades PK-8 in the .",private,"p,e,m","PK,TK,KG,1,2,3,4,5,6,7,8",13445 Hampton Road,Brookfield,WI,55133,53005,(262) 781-4135,(262) 781-5460,Waukesha County,43.10347,-88.079636,,0,http://www.immanuelbrookfield.org,https://www.greatschools.org/wisconsin/brookfield/2503-Immanuel-Lutheran-School/
5502597,01513204,07141845,Brookfield Christian School,"Brookfield Christian School, a private school located in Brookfield, WI, serves grades PK-8 in the .",private,"p,e,m","PK,TK,KG,1,2,3,4,5,6,7,8",14155 West Burleigh Road,Brookfield,WI,55133,53005,(262) 782-4722,(262) 782-0551,Waukesha County,43.0742,-88.088318,,0,http://www.brookfieldchristian.org,https://www.greatschools.org/wisconsin/brookfield/2597-Brookfield-Christian-School/
5503315,A9708294,,Children's Edu Care North Ave,"Children's Edu Care North Ave, a private school located in Brookfield, WI, serves grades PK-K in the .",private,"p,e","PK,KG",19305 W North Ave,Brookfield,WI,55133,53005,(262) 797-9739,,Waukesha,43.061401,-88.152199,,0,,https://www.greatschools.org/wisconsin/brookfield/3315-Childrens-Edu-Care-North-Ave/
