universal-id,nces-id,state-id,name,school-summary,type,level-codes,level,street,city,state,fipscounty,zip,phone,fax,county,lat,lon,district-name,district-id,web-site,overview-url
1702032,171425001767,3404903302001,Emmons Grade School,"Emmons Grade School, a public school located in Antioch, IL, serves grades K-8 in the Emmons School District 33.",public,"e,m","KG,1,2,3,4,5,6,7,8",24226 West Beach Grove Road,Antioch,IL,17097.0,60002,(847) 395-1105,,Lake County,42.459717,-88.106033,Emmons School District 33,443,http://www.emmons33.org,https://www.greatschools.org/illinois/antioch/2032-Emmons-Grade-School/
1702257,171749002053,3404903602001,Grass Lake Elementary School,"Grass Lake Elementary School, a public school located in Antioch, IL, serves grades PK-8 in the Grass Lake School District 36.",public,"p,e,m","PK,KG,1,2,3,4,5,6,7,8",26177 West Grass Lake Road,Antioch,IL,17097.0,60002,(847) 395-1550,,Lake County,42.439983,-88.138977,Grass Lake School District 36,508,http://www.gls36.org,https://www.greatschools.org/illinois/antioch/2257-Grass-Lake-Elementary-School/
1700432,170384000072,3404903401002,Antioch Upper Grade School,"Antioch Upper Grade School, a public school located in Antioch, IL, serves grades 6-8 in the Antioch Central Consolidated School District 34.",public,m,"6,7,8",800 Highview Drive,Antioch,IL,17097.0,60002,(847) 838-8310,,Lake County,42.480213,-88.112778,Antioch Central Consolidated School District 34,206,http://www.antioch34.com,https://www.greatschools.org/illinois/antioch/432-Antioch-Upper-Grade-School/
1704879,00349651,34049039X0000,Faith Evangelical Lutheran School,"Faith Evangelical Lutheran School, a private school located in Antioch, IL, serves grades PK-8 in the .",private,"p,e,m","PK,TK,KG,1,2,3,4,5,6,7,8",1275 Main Street,Antioch,IL,17097.0,60002,(847) 395-1660,(847) 589-0519,Lake County,42.467899,-88.091522,,0,faithantioch.org,https://www.greatschools.org/illinois/antioch/4879-Faith-Evangelical-Lutheran-School/
1710113,BB060680,,St. James Junior High School,"St. James Junior High School, a private school located in Arlington Heights, IL, serves grades PK-8 in the .",private,"p,e,m","PK,KG,1,2,3,4,5,6,7,8",800 N Arlington Heights Rd,Arlington Heights,IL,17031.0,60004,(847) 255-6746,,Cook,42.09259,-87.980385,,0,,https://www.greatschools.org/illinois/arlington-heights/10113-St.-James-Junior-High-School/
1700113,170003205095,0501680506004,Miner School,"Miner School, a public school located in Arlington Heights, IL, serves grades Ungraded in the NW Suburban Special Education Org.",public,"e,m,h",UG,1101 East Miner Street,Arlington Heights,IL,17031.0,60004,(847) 463-8400,,Cook County,42.084007,-87.969696,NW Suburban Special Education Org,26,http://www.nsseo.org/programs/miner-school/,https://www.greatschools.org/illinois/arlington-heights/113-Miner-School/
1712130,,0501602550050,Newhope Academy,"Newhope Academy, a private school located in Arlington Heights, IL, serves grades Ungraded in the .",private,"e,m,h",UG,3250 North Arlington Heights Road,Arlington Heights,IL,17031.0,60004,(847) 588-0463,,Cook,42.134724,-87.984764,,0,http://www.nhaweb.com/,https://www.greatschools.org/illinois/niles/12130-Newhope-Academy/
1713173,A1701461,,Chicago Futabakai Japanese School,"Chicago Futabakai Japanese School, a private school located in Arlington Heights, IL, serves grades PK-9 in the .",private,"p,e,m","PK,TK,KG,1,2,3,4,5,6,7,8,9",2550 North Arlington Heights Road,Arlington Heights,IL,17031.0,60004,(847) 590-5700,,Cook County,42.121536,-87.981323,,0,,https://www.greatschools.org/illinois/arlington-heights/13173-Chicago-Futabakai-Japanese-School/
1704590,00344733,05016666X0000,St James School,"St James School, a private school located in Arlington Heights, IL, serves grades PK-8 in the .",private,"p,e,m","PK,TK,KG,1,2,3,4,5,6,7,8",820 North Arlington Heights Road,Arlington Heights,IL,17031.0,60004,(224) 345-7145,,Cook County,42.092758,-87.980682,,0,,https://www.greatschools.org/illinois/arlington-heights/4590-St-James-School/
1700465,170414000106,0501602501015,Thomas Middle School,"Thomas Middle School, a public school located in Arlington Heights, IL, serves grades 6-8 in the Arlington Heights School District 25.",public,m,"6,7,8",1430 North Belmont Avenue,Arlington Heights,IL,17031.0,60004,(847) 398-4260,,Cook County,42.102409,-87.978897,Arlington Heights School District 25,214,http://www.sd25.org,https://www.greatschools.org/illinois/arlington-heights/465-Thomas-Middle-School/
